rflpos_sku,code,collection,size_type,nominal_size,finish,idx,source,source_file,source_url,public_id,shot_type,delivery_crop,alt_text,flag,upload,shared_with
PR1269,Bristol-29.5-NWA-BG,Bristol,29.5,30,Natural White Ash,1,shopify,Bristol-29.5-NWA-BG-V292-AAA_3477-1copy_e3dc74e4-7622-43c3-802c-7b3b33fd89d9.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-29.5-NWA-BG-V292-AAA_3477-1copy_e3dc74e4-7622-43c3-802c-7b3b33fd89d9.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-30-natural-white-ash-pr1269-1,product,"c_pad,b_auto","Bristol 30 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1269,Bristol-29.5-NWA-BG,Bristol,29.5,30,Natural White Ash,2,shopify,Bristol-29.5-NWA-BG-V292-AAA_3479_copy_eff0606d-7987-4b8e-be05-465b96cf6b3c.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-29.5-NWA-BG-V292-AAA_3479_copy_eff0606d-7987-4b8e-be05-465b96cf6b3c.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-30-natural-white-ash-pr1269-2,product,"c_pad,b_auto","Bristol 30 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1269,Bristol-29.5-NWA-BG,Bristol,29.5,30,Natural White Ash,3,shopify,Bristol-29.5-NWA-BG-V292-AAA_3480_copy_d037395a-ecd8-4b1b-af0a-dcf0a4ef10f3.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-29.5-NWA-BG-V292-AAA_3480_copy_d037395a-ecd8-4b1b-af0a-dcf0a4ef10f3.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-30-natural-white-ash-pr1269-3,product,"c_pad,b_auto","Bristol 30 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1269,Bristol-29.5-NWA-BG,Bristol,29.5,30,Natural White Ash,4,shopify,Bristol-29.5-NWA-BG-V292-AAA_3477_copy_1640f255-3ac2-487e-9079-8acbd29c365e.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-29.5-NWA-BG-V292-AAA_3477_copy_1640f255-3ac2-487e-9079-8acbd29c365e.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-30-natural-white-ash-pr1269-4,product,"c_pad,b_auto","Bristol 30 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1270,Bristol-35.5-NWA-BG,Bristol,35.5,36,Natural White Ash,1,shopify,Bristol-35.5-NWA-BG-V292-AAA_3473-1copy_3f5211de-559b-4e5a-b66c-173b369fdc8d.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-35.5-NWA-BG-V292-AAA_3473-1copy_3f5211de-559b-4e5a-b66c-173b369fdc8d.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-36-natural-white-ash-pr1270-1,product,"c_pad,b_auto","Bristol 36 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1270,Bristol-35.5-NWA-BG,Bristol,35.5,36,Natural White Ash,2,shopify,Bristol-35.5-NWA-BG-V292-AAA_3475_copy_9b0a9879-d44f-49f8-b869-b0f05b2297c9.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-35.5-NWA-BG-V292-AAA_3475_copy_9b0a9879-d44f-49f8-b869-b0f05b2297c9.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-36-natural-white-ash-pr1270-2,product,"c_pad,b_auto","Bristol 36 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1270,Bristol-35.5-NWA-BG,Bristol,35.5,36,Natural White Ash,3,shopify,Bristol-35.5-NWA-BG-V292-AAA_3476_copy_c52e54ea-d00a-4faa-9a5d-b5cb6b44d85e.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-35.5-NWA-BG-V292-AAA_3476_copy_c52e54ea-d00a-4faa-9a5d-b5cb6b44d85e.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-36-natural-white-ash-pr1270-3,product,"c_pad,b_auto","Bristol 36 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1270,Bristol-35.5-NWA-BG,Bristol,35.5,36,Natural White Ash,4,shopify,Bristol-35.5-NWA-BG-V292-AAA_3473_copy_d7606288-ccc4-42dd-ac05-9def29707b28.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-35.5-NWA-BG-V292-AAA_3473_copy_d7606288-ccc4-42dd-ac05-9def29707b28.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-36-natural-white-ash-pr1270-4,product,"c_pad,b_auto","Bristol 36 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1271,Bristol-41.5-NWA-BG,Bristol,41.5,42,Natural White Ash,1,shopify,Bristol-41.5-NWA-BG-V292-AAA_3464-1copy.jpg,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol-41.5-NWA-BG-V292-AAA_3464-1copy.jpg,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-42-natural-white-ash-pr1271-1,product,"c_pad,b_auto","Bristol 42 inch bathroom vanity in Natural White Ash, product view",,yes,
PR1271,Bristol-41.5-NWA-BG,Bristol,41.5,42,Natural White Ash,2,shopify,Bristol_NWA_42__Front_View.png,https://cdn.shopify.com/s/files/1/1138/0326/files/Bristol_NWA_42__Front_View.png,bathroom-vanities-outlet/er-vanities/bathroom-vanity-bristol-42-natural-white-ash-pr1271-2,product,"c_pad,b_auto","Bristol 42 inch bathroom vanity in Natural White Ash, render view",,yes,
