old_path,destination,status,confidence,why
/products/kensington-35-5-right-drawers-in-all-wood-vanity-in-navy-blue-cabinet-only,https://globalvaluesupply.com/products/kensington-35-5-right-drawers-in-all-wood-vanity-in-navy-blue-cabinet-only,301,HIGH,not on new BVO; exact same handle exists on GVS
/products/atlanta-59-5-inch-double-bathroom-vanity-in-white,https://globalvaluesupply.com/products/atlanta-59-5-inch-double-bathroom-vanity-in-white,301,HIGH,not on new BVO; exact same handle exists on GVS
/collections/bathroom-vanities-1/36-inch,https://www.bathroomvanitiesoutlet.com/collections/bathroom-vanities,301,MED,"duplicate of bathroom-vanities; tag segment ""36-inch"" dropped"
/collections/in-stock-bathroom-vanities-at-norcross/30-inch?page=2,https://globalvaluesupply.com/collections/bathroom-vanities-outlet,301,MED,"in-stock showroom stock lives on GVS; tag segment ""30-inch"" dropped"
/products/kensington-84-in-solid-wood-vanity-in-gray-cabinet-only,https://globalvaluesupply.com/products/kensington-84-in-solid-wood-vanity-in-gray-cabinet-only,301,HIGH,not on new BVO; exact same handle exists on GVS
/products/kensington-60-in-solid-wood-vanity-in-metal-gray-cabinet-only,https://globalvaluesupply.com/products/kensington-60-in-solid-wood-vanity-in-metal-gray-cabinet-only,301,HIGH,not on new BVO; exact same handle exists on GVS
/products/sofi-60-in-x-79-in-frameless-rolling-shower-door-in-champaign-gold,https://globalvaluesupply.com/collections/bathroom-vanities-outlet,301,MED,shower door/valve — new BVO carries none; GVS does
/products/stock-top-3-cm-woodgrain-quartz-30-5-in-w-x-22-in-d,https://globalvaluesupply.com/products/stock-top-3-cm-woodgrain-quartz-30-5-in-w-x-22-in-d,301,HIGH,not on new BVO; exact same handle exists on GVS
/products/stock-top-3-cm-calacatta-white-quartz-48-5-in-w-x-22-in-d,https://globalvaluesupply.com/products/stock-top-3-cm-calacatta-white-quartz-48-5-in-w-x-22-in-d,301,HIGH,not on new BVO; exact same handle exists on GVS
/collections/wood-bathroom-vanity-cabinets/84-inch,https://www.bathroomvanitiesoutlet.com/collections/bathroom-vanity-cabinets,301,MED,"cabinets-only equivalent; tag segment ""84-inch"" dropped"
