name,sku,brand,category_slug,price,compare_price,short_desc,long_desc,width_in,depth_in,height_in,weight_lbs,is_active,is_featured,is_new,qty_on_hand,allow_backorder,meta_title,meta_desc,image_url,attr_product_type,attr_size_in,attr_cabinet_finish,attr_color_family,attr_hardware_finish,attr_style,attr_mount_type,attr_sink_count,attr_sink_included,attr_countertop_material,attr_countertop_included,attr_mirror_included,attr_door_style,attr_drawer_count,attr_sink_type,attr_faucet_holes
Atlanta-47.5-DKBLU-BG,PR1058,Atlanta Vanity,vanities,875.49,,<p>Atlanta-47.5-DKBLU-BG</p>,,47.5,21.5,34.5,,1,0,0,2,0,,,https://rflpos.com/product_images/1706991238_Atlanta 48%22 Blue.jpeg,,,,,,,,,,,,,,,,
Atlanta-47.5-WH-BN,PR1057,Atlanta Vanity,vanities,799.99,,<p>Atlanta-47.5-WH-BN</p>,,47.5,21.5,34.5,,1,0,0,3,0,,,https://rflpos.com/product_images/1706991133_Atlanta 48%22 White.jpeg,,,,,,,,,,,,,,,,
Atlanta-59.5D-DKBLU-BG,PR1060,Atlanta Vanity,vanities,854.99,,<p>Atlanta-59.5D-DKBLU-BG</p>,,59.5,21.5,34.5,,1,0,0,7,0,,,https://rflpos.com/product_images/1706992965_Atlanta 60D Blue.jpg,,,,,,,,,,,,,,,,
Atlanta-59.5D-WH-BN,PR1059,Atlanta Vanity,vanities,899.99,,<p>Atlanta-59.5D-WH-BN</p>,,59.5,21.5,34.5,,1,0,0,8,0,,,https://rflpos.com/product_images/1706992992_Atlanta 60D White.jpeg,,,,,,,,,,,,,,,,
Atlanta-59.5S-DKBLU-BG,PR1062,Atlanta Vanity,vanities,999.99,,<p>Atlanta-59.5S-DKBLU-BG</p>,,59.5,21.5,34.5,,1,0,0,11,0,,,https://rflpos.com/product_images/1706993038_Atlanta 60S Blue.jpeg,,,,,,,,,,,,,,,,
Atlanta-59.5S-WH-BN,PR1061,Atlanta Vanity,vanities,949.99,,<p>Atlanta-59.5S-WH-BN</p>,,59.5,21.5,34.5,,1,0,0,9,0,,,https://rflpos.com/product_images/1706993062_Atlanta 60S White.jpeg,,,,,,,,,,,,,,,,
Atlanta-71.5-DKBLU-BG,PR1064,Atlanta Vanity,vanities,1099.99,,<p>Atlanta-71.5-DKBLU-BG</p>,,71.5,21.5,34.5,,1,0,0,0,0,,,https://rflpos.com/product_images/1706993098_Atlanta 72 Blue.jpg,,,,,,,,,,,,,,,,
Atlanta-71.5-WH-BN,PR1063,Atlanta Vanity,vanities,944.99,,<p>Atlanta-71.5-WH-BN</p>,,71.5,21.5,34.5,,1,0,0,0,0,,,https://rflpos.com/product_images/1706993126_Atlanta 72 White.jpeg,,,,,,,,,,,,,,,,
Kennesaw-29.5-DKGR-BN,PR1046,Atlanta Vanity,vanities,299.99,,<p>Kennesaw-29.5-DKGR-BN</p>,,29.5,21.5,34.5,,1,0,0,9,0,,,https://rflpos.com/product_images/1706993179_Kennesaw 30%22 Grey.webp,,,,,,,,,,,,,,,,
Kennesaw-29.5-WH-BN,PR1045,Atlanta Vanity,vanities,449.99,,<p>Kennesaw-29.5-WH-BN</p>,,29.5,21.5,34.5,,1,0,0,8,0,,,https://rflpos.com/product_images/1706993224_Kennesaw 30%22 White.webp,,,,,,,,,,,,,,,,
Kennesaw-35.5L-DKGR-BN,PR1048,Atlanta Vanity,vanities,549.99,,<p>Kennesaw-35.5L-DKGR-BN</p>,,29.5,21.5,34.5,,1,0,0,4,0,,,https://rflpos.com/product_images/1706993259_Kennesaw 36%22 Grey.jpeg,,,,,,,,,,,,,,,,
Kennesaw-35.5L-WH-BN,PR1047,Atlanta Vanity,vanities,549.99,,<p>Kennesaw-35.5L-WH-BN</p>,,29.5,21.5,34.5,,1,0,0,0,0,,,https://rflpos.com/product_images/1706993320_Kennesaw 36%22 White.avif,,,,,,,,,,,,,,,,
Kennesaw-41.5-BLK-BG,Kennesaw-41.5-BLK-BG,Atlanta Vanity,vanities,749.99,,"<table width=""249"">
<tbody>
<tr>
<td style=""width: 234.203px;"" width=""249"">Kennesaw-41.5-BLK-BG</td>
</tr>
</tbody>
</table>",,41.5,21.5,34.5,,1,0,0,5,0,,,,,,,,,,,,,,,,,,,
Kennesaw-41.5-CAMGRN-BG,Kennesaw-41.5-CAMGRN-BG,Atlanta Vanity,vanities,749.99,,"<table width=""249"">
<tbody>
<tr>
<td style=""width: 234.203px;"" width=""249"">Kennesaw-41.5-CAMGRN-BG</td>
</tr>
</tbody>
</table>",,41.5,21.5,34.5,,1,0,0,4,0,,,,,,,,,,,,,,,,,,,
Kennesaw-41.5-DRKG-BN,Kennesaw-41.5-DRKG-BN,Atlanta Vanity,vanities,749.99,,"<table width=""249"">
<tbody>
<tr>
<td style=""width: 234.203px;"" width=""249"">Kennesaw-41.5-DRKG-BN</td>
</tr>
</tbody>
</table>",,41.5,21.5,34.5,,1,0,0,6,0,,,,,,,,,,,,,,,,,,,
Kennesaw-41.5-WH-BN,Kennesaw-41.5-WH-BN,Atlanta Vanity,vanities,749.99,,"<table width=""249"">
<tbody>
<tr>
<td style=""width: 234.203px;"" width=""249"">Kennesaw-41.5-WH-BN</td>
</tr>
</tbody>
</table>",,41.5,21.5,34.5,,1,0,0,6,0,,,,,,,,,,,,,,,,,,,
Kennesaw-47.5-BLK-BG,Kennesaw-47.5-BLK-BG,Atlanta Vanity,vanities,799.99,,"<table width=""249"">
<tbody>
<tr>
<td width=""249"">Kennesaw-47.5-BLK-BG</td>
</tr>
</tbody>
</table>",,47.5,21.5,34.5,,1,0,0,3,0,,,,,,,,,,,,,,,,,,,
Kennesaw-47.5-CAMGRN-BG,Kennesaw-47.5-CAMGRN-BG,Atlanta Vanity,vanities,799.99,,"<table width=""249"">
<tbody>
<tr>
<td width=""249"">Kennesaw-47.5-CAMGRN-BG</td>
</tr>
</tbody>
</table>",,47.5,21.5,34.5,,1,0,0,2,0,,,,,,,,,,,,,,,,,,,
Kennesaw-47.5-DKGR-BN,PR1050,Atlanta Vanity,vanities,759.99,,<p>Kennesaw-47.5-DKGR-BN</p>,,47.5,21.5,34.5,,1,0,0,1,0,,,https://rflpos.com/product_images/1706993358_Kennesaw 48%22 Grey.jpeg,,,,,,,,,,,,,,,,
Kennesaw-47.5-WH-BN,PR1049,Atlanta Vanity,vanities,799.99,,<p>Kennesaw-47.5-WH-BN</p>,,47.5,21.5,34.5,,1,0,0,0,0,,,https://rflpos.com/product_images/1706997148_Kennesaw 48%22 White.jpeg,,,,,,,,,,,,,,,,
Kennesaw-59.5D-DKGR-BN,PR1052,Atlanta Vanity,vanities,849.99,,<p>Kennesaw-59.5D-DKGR-BN</p>,,59.5,21.5,34.5,,1,0,0,4,0,,,https://rflpos.com/product_images/1706997192_Kennesaw 60%22 grey.jpeg,,,,,,,,,,,,,,,,
Kennesaw-59.5D-WH-BN,PR1051,Atlanta Vanity,vanities,749.99,,<p>Kennesaw-59.5D-WH-BN</p>,,59.5,21.5,34.5,,1,0,0,3,0,,,https://rflpos.com/product_images/1706997235_Kennesaw 60D%22 white.webp,,,,,,,,,,,,,,,,
Kennesaw-59.5S-DKGR-BN,PR1054,Atlanta Vanity,vanities,924.99,,<p>Kennesaw-59.5S-DKGR-BN</p>,,59.5,21.5,34.5,,1,0,0,4,0,,,https://rflpos.com/product_images/1706997267_Kennesaw 60S%22 grey.jpeg,,,,,,,,,,,,,,,,
Kennesaw-59.5S-WH-BN,PR1053,Atlanta Vanity,vanities,914.99,,<p>Kennesaw-59.5S-WH-BN</p>,,59.5,21.5,34.5,,1,0,0,6,0,,,https://rflpos.com/product_images/1706997295_Kennesaw 60S%22 white.jpeg,,,,,,,,,,,,,,,,
